ticker,timestamp,metric_name,value_1,value_2,value_3
TSLA,2025-11-27 16:53:42,Net Sales,97690.0,96773.0,95341.0
TSLA,2025-11-27 16:53:42,Total Assets,122070.0,106618.0,4087.0
TSLA,2025-11-27 16:53:42,Total Liabilities,48390.0,43009.0,4057.0
TSLA,2025-11-27 16:53:42,Shareholders Equity,73617.0,72913.0,63367.0
TSLA,2025-11-27 16:53:42,Net Income,14997.0,14974.0,12587.0
TSLA,2025-11-27 16:53:42,Operating Income,13656.0,8891.0,7076.0
TSLA,2025-11-27 16:53:42,Gross Profit,20853.0,20565.0,17660.0
TSLA,2025-11-27 16:53:42,Cash And Equivalents,16398.0,16253.0,16139.0
